waic,kld,log_score,crps,cdf_mad,cdf_ci_coverage,cdf_ci_width,data_type,data_seed,model,ntrain,ntest,fit_seconds,job,run,mcmc_strategy,apply_jitter,ig_a,ig_b
786.7876022454988,0.14071762603515883,7849.397310352295,0.8252925038418496,0.09948550294410707,0.9818,0.31153590589059943,mixture,9,ptm-iwls-nuts,250,5000,825.0713739395142,010j-ptm-iwls-nuts-ig1_005,20251213-105807,iwls-nuts,FALSE,0.01,0.01
1505.3507001574076,0.07361902040603849,7513.904282206692,0.812440948135921,0.06633364238239493,0.9498,0.2009332276986764,mixture,9,ptm-iwls-nuts,500,5000,1259.868105649948,010j-ptm-iwls-nuts-ig1_005,20251213-110511,iwls-nuts,FALSE,1,0.005
812.1946540198578,0.17167015796556648,7953.171579910333,0.8260852799196797,0.10165174526450284,0.9632,0.3074641947255424,mixture,10,ptm-iwls-nuts,250,5000,624.0857832431793,010j-ptm-iwls-nuts-ig1_005,20251213-105445,iwls-nuts,FALSE,0.01,0.01
1552.9929716505092,0.07842779850128367,7486.959782588918,0.8092180227451594,0.06954749033095543,0.9572,0.21674062109807915,mixture,10,ptm-iwls-nuts,500,5000,1004.838923215866,010j-ptm-iwls-nuts-ig1_005,20251213-110151,iwls-nuts,FALSE,0.01,0.01
741.2219079414359,0.19578818206690396,8140.402212036522,0.8401370781489276,0.10107166667109324,0.8386,0.25644945159937654,mixture,11,ptm-iwls-nuts,250,5000,830.4058558940887,010j-ptm-iwls-nuts-ig1_005,20251213-110243,iwls-nuts,FALSE,1,0.005
1484.2256874086413,0.12681274593667216,7795.52503138536,0.8221692302848486,0.07324663200308235,0.853,0.19504338028908016,mixture,11,ptm-iwls-nuts,500,5000,1218.0952770709991,010j-ptm-iwls-nuts-ig1_005,20251213-110904,iwls-nuts,FALSE,0.01,0.01
759.3740716191637,0.13240935928657915,7800.446003533596,0.8200507213856032,0.0971122218031002,0.972,0.3008919347073471,mixture,12,ptm-iwls-nuts,250,5000,740.6454546451569,010j-ptm-iwls-nuts-ig1_005,20251213-110401,iwls-nuts,FALSE,0.01,0.01
1530.208607419614,0.079879531743728,7537.796865819341,0.8085579226643056,0.0686962286414805,0.9622,0.21159856627380205,mixture,12,ptm-iwls-nuts,500,5000,1042.5509989261627,010j-ptm-iwls-nuts-ig1_005,20251213-110937,iwls-nuts,FALSE,0.01,0.01
751.1912968905053,0.17001814569728846,7929.623714188842,0.8262132589480933,0.09793475691211338,0.9174,0.2795870189520104,mixture,13,ptm-iwls-nuts,250,5000,726.0681345462799,010j-ptm-iwls-nuts-ig1_005,20251213-110804,iwls-nuts,FALSE,0.01,0.01
1548.7281037819369,0.08951559394836302,7527.110955444215,0.8117181930397195,0.06826530746433869,0.9482,0.20504331970003117,mixture,13,ptm-iwls-nuts,500,5000,1077.9338219165802,010j-ptm-iwls-nuts-ig1_005,20251213-111353,iwls-nuts,FALSE,1,0.005
