kld_kde,kld_kde_floor,mad_kde,kld_gaussian,mad_gaussian,data,seed,nobs
0.4342400045994952,0.4342400045994952,0.10873744928270435,0.6755547759234619,0.09364836427887968,u-shaped,7,25
0.22224041225651764,0.22224041225651764,0.06532735088895258,0.20511062926454574,0.0232425963489426,unif,7,25
0.039272790580656296,0.039272790580656296,0.05073655946718654,0.02811740135087872,0.06656560149626647,gaussian,7,50
Inf,0.15427190843245248,0.03952116551625242,0.19100610857353417,0.02003723672767155,ptm,7,50
Inf,0.05951430264980397,0.01997269964280983,0.11050458539278286,0.041262360679359525,skewnorm,7,50
Inf,0.07003415069933591,0.041249194974063375,0.23770169914659173,0.05669390955988498,mixture,7,50
0.3652696663604334,0.3652696663604334,0.07554952043344713,0.6427061549486767,0.07237322646528654,u-shaped,7,50
0.1272584554178206,0.1272584554178206,0.03139825740286211,0.18125245645437774,0.026994894984861514,unif,7,50
0.011516486730250155,0.011516486730250155,0.03068288448947451,0.012687571307279166,0.039923845895142085,gaussian,7,100
Inf,0.11173424550745424,0.030002356973678028,0.1847849870746467,0.016802040212388337,ptm,7,100
Inf,0.04415880748702356,0.024338129924140625,0.09991610981552285,0.047915176332108525,skewnorm,7,100
Inf,0.06361489332486346,0.04656799665595443,0.2375573945923313,0.057013205137996216,mixture,7,100
0.302697270076926,0.302697270076926,0.05319606798656542,0.6265959115735945,0.06551148784992174,u-shaped,7,100
0.09593394210234671,0.09593394210234671,0.011689429083118397,0.16982310546869864,0.037423973280996774,unif,7,100
