kld_test,mad_test,run,in_hdi_cdf,in_hdi_prob,in_ci_cdf,in_ci_prob,width_hdi_cdf,width_hdi_prob,width_ci_cdf,width_ci_prob
0.09159482754088268,0.07674307200887967,dummy-12sr9li8,NA,NA,NA,NA,NA,NA,NA,NA
0.2716057519952301,0.11114741505894436,dummy-133f7bne,NA,NA,NA,NA,NA,NA,NA,NA
0.0163311183200111,0.03114022594075164,dummy-139lnnpt,NA,NA,NA,NA,NA,NA,NA,NA
0.0227184393730077,0.01600373346057151,dummy-13btrsjf,NA,NA,NA,NA,NA,NA,NA,NA
0.08145669040580147,0.06986435762165916,dummy-13mu9tji,NA,NA,NA,NA,NA,NA,NA,NA
0.03782890064573416,0.04822712727745145,dummy-13nyxu61,NA,NA,NA,NA,NA,NA,NA,NA
0.01931860072698525,0.01584136385655476,dummy-13zgmqqz,NA,NA,NA,NA,NA,NA,NA,NA
0.06740735170378326,0.07593855656451064,dummy-142w8e2f,NA,NA,NA,NA,NA,NA,NA,NA
0.05104534659850456,0.03187655486390672,dummy-14evls88,NA,NA,NA,NA,NA,NA,NA,NA
0.01850365486875652,0.03304683849414166,dummy-14icdzsi,NA,NA,NA,NA,NA,NA,NA,NA
0.11490354492955396,0.06399161131429097,dummy-14jydpy6,NA,NA,NA,NA,NA,NA,NA,NA
0.05532897628072106,0.03961400539103193,dummy-14nqjp8j,NA,NA,NA,NA,NA,NA,NA,NA
0.01181941167776337,0.02068281252731045,dummy-14zehlok,NA,NA,NA,NA,NA,NA,NA,NA
0.13227927557034275,0.09722201928173962,dummy-151jpkt3,NA,NA,NA,NA,NA,NA,NA,NA
0.11554271927884124,0.06399161105007148,dummy-156j6560,NA,NA,NA,NA,NA,NA,NA,NA
0.11876305851662458,0.02907060007489281,dummy-159poi90,NA,NA,NA,NA,NA,NA,NA,NA
0.07243359685183967,0.04501561452476817,dummy-15w10qru,NA,NA,NA,NA,NA,NA,NA,NA
0.03996199127342918,0.01667080104044628,dummy-16dtsdy2,NA,NA,NA,NA,NA,NA,NA,NA
0.04282757230991591,0.04461752590370013,dummy-16jzoovu,NA,NA,NA,NA,NA,NA,NA,NA
0.02807423679377363,0.03689877820483423,dummy-16ygl1xz,NA,NA,NA,NA,NA,NA,NA,NA
0.3915344620467513,0.03190225012470604,dummy-174d72wg,NA,NA,NA,NA,NA,NA,NA,NA
0.05238425552008816,0.03136491260712115,dummy-17cb077k,NA,NA,NA,NA,NA,NA,NA,NA
0.09491680733801926,0.05415745509360174,dummy-17m7ts9c,NA,NA,NA,NA,NA,NA,NA,NA
0.0072255652031238,0.01298144162683622,dummy-184qtety,NA,NA,NA,NA,NA,NA,NA,NA
0.1374156243300214,0.01605366132671898,dummy-18kn4idx,NA,NA,NA,NA,NA,NA,NA,NA
0.0302057894359568,0.03786250469606169,dummy-18w3j3ib,NA,NA,NA,NA,NA,NA,NA,NA
