variable,ess_bulk_min,ess_bulk_median,ess_tail_min,ess_tail_median,rhat_max,rhat_median,ess_bulk_min_per_minute,ess_tail_min_per_minute,ess_bulk_median_per_minute,ess_tail_median_per_minute,data_type,data_seed,model,ntrain,ntest,job,run,acceptance_prob,position_moved,kernel,mcmc_strategy,apply_jitter
s(x3)_variance,16104.73771457045,16104.73771457045,18340.36133083999,18340.36133083999,0.9999742005149364,0.9999742005149364,3317.9847434562134,3778.579953534156,3317.9847434562134,3778.579953534156,ptm,24,gaussian-iwls,500,5000,007-gaussian,20250903-184551,NA,NA,NA,NA,NA
scale_intercept,17997.146244072435,17997.146244072435,18901.70447660523,18901.70447660523,0.9999898491066428,0.9999898491066428,3707.86893409368,3894.230889706044,3707.86893409368,3894.230889706044,ptm,24,gaussian-iwls,500,5000,007-gaussian,20250903-184551,NA,NA,NA,NA,NA
g(x0)_coef,14805.63436238898,17602.414930864656,15282.354727996297,17971.13401877618,1.0003435435514536,1.0000685100968794,2728.3270875295875,2816.1753387310023,3243.7073810097886,3311.653559512869,ptm,25,gaussian-iwls,1000,5000,007-gaussian,20250903-190208,NA,NA,NA,NA,NA
g(x0)_variance,10998.100593575937,10998.100593575937,14972.653268838632,14972.653268838632,1.000177939455667,1.000177939455667,2026.688963564729,2759.1047087677384,2026.688963564729,2759.1047087677384,ptm,25,gaussian-iwls,1000,5000,007-gaussian,20250903-190208,NA,NA,NA,NA,NA
g(x1)_coef,14659.493280633986,17399.13411572341,16099.325378611533,17650.7394664377,1.0002482883557715,1.0000803047638918,2701.396753969149,2966.723643601512,3206.247550464881,3252.6124462146377,ptm,25,gaussian-iwls,1000,5000,007-gaussian,20250903-190208,NA,NA,NA,NA,NA
g(x1)_variance,11020.76207200337,11020.76207200337,14378.28719072962,14378.28719072962,0.9999596524973884,0.9999596524973884,2030.864936300764,2649.5771443877215,2030.864936300764,2649.5771443877215,ptm,25,gaussian-iwls,1000,5000,007-gaussian,20250903-190208,NA,NA,NA,NA,NA
g(x2)_coef,14848.896823990182,17134.933988589986,17065.09442721919,18264.84192116814,1.0004387682892262,1.0001523827231151,2736.299332620255,3144.6919623591,3157.561736284706,3365.776956478089,ptm,25,gaussian-iwls,1000,5000,007-gaussian,20250903-190208,NA,NA,NA,NA,NA
g(x2)_variance,12175.777511833456,12175.777511833456,16920.20765745486,16920.20765745486,1.0000721282098577,1.0000721282098577,2243.706874300295,3117.992768734755,2243.706874300295,3117.992768734755,ptm,25,gaussian-iwls,1000,5000,007-gaussian,20250903-190208,NA,NA,NA,NA,NA
g(x3)_coef,15901.609089842415,17345.472745705913,17351.875439295658,18329.74261004572,1.000424037787008,1.000097655881105,2930.2892232253785,3197.5388978085534,3196.359033310587,3377.7366133985543,ptm,25,gaussian-iwls,1000,5000,007-gaussian,20250903-190208,NA,NA,NA,NA,NA
g(x3)_variance,12425.370793791097,12425.370793791097,16011.743907114433,16011.743907114433,1.0003076822015566,1.0003076822015566,2289.700993522929,2950.584456640482,2289.700993522929,2950.584456640482,ptm,25,gaussian-iwls,1000,5000,007-gaussian,20250903-190208,NA,NA,NA,NA,NA
loc_intercept,15185.599337248448,15185.599337248448,16789.828853882787,16789.828853882787,1.0000107702167664,1.0000107702167664,2798.345616141577,3093.9670490176036,2798.345616141577,3093.9670490176036,ptm,25,gaussian-iwls,1000,5000,007-gaussian,20250903-190208,NA,NA,NA,NA,NA
