waic,kld,log_score,cdf_mad,crps,cdf_ci_coverage,cdf_ci_width,data_type,data_seed,model,ntrain,ntest,fit_seconds,run,job,kld_manual,log_score_manual,bootstrap_seconds,mcmc_strategy,apply_jitter
63135501.552927874,1.475523076538478,15475.482625002389,0.40135139523531727,7411573959972074e39,0.9998,0.9977064538501116,ptm,31,ptm-iwls-nuts,250,5000,714.1686656475067,20250906-110734,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
143842112.44474125,1.4543225442139005,15369.4799633795,0.39380429312750664,3326966817156466e43,0.9994,0.9940769013265924,ptm,31,ptm-iwls-nuts,500,5000,1274.511636018753,20250906-161807,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
210322433.8813012,47.107820930753014,243051.4956048501,0.4990616951078865,13651027860682336e62,0.016,0.01607751618063742,ptm,32,ptm-iwls-nuts,1000,5000,1057.0270466804504,20250906-075216,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
64514591.93551289,38.5636055279828,200330.41859099903,0.4998605875911654,12607877935319741e59,0.982,0.9824261832280516,ptm,32,ptm-iwls-nuts,250,5000,479.10865020751953,20250906-085204,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
109908397.98358448,35.843226943420206,186728.52566818596,0.43877935356336656,13212841886169426e52,0.5282,0.5274071427711504,ptm,32,ptm-iwls-nuts,500,5000,656.4789619445801,20250906-065822,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
218146616.12959617,39.702516517122454,206894.13774152225,0.4941595593263897,455460226307378e65,0.0416,0.04165720823470906,ptm,33,ptm-iwls-nuts,1000,5000,1353.8295013904572,20250906-112924,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
44797961.260326385,96.0581719677248,488672.41499453393,0.49769247293981633,5301596638173736e58,0.9968,0.9969401850765264,ptm,33,ptm-iwls-nuts,250,5000,4514.028984069824,20250906-113648,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
126389893.58144347,44.65194684369191,231641.28937436955,0.49744822852260806,16607139750609681e56,0.9912,0.99137427532558,ptm,33,ptm-iwls-nuts,500,5000,670.2347633838654,20250906-072826,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
239699618.7687393,86.14575545671484,438531.4641272213,0.5000150327622414,19987251591569945e58,1,0.9999359417330748,ptm,34,ptm-iwls-nuts,1000,5000,771.03644490242,20250906-215443,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
924.99277557985,0.14797244736184184,9761.31656649921,0.1069966289913842,1.0856339103201975,0.8448,0.2801434208898654,ptm,34,ptm-iwls-nuts,250,5000,569.3935661315918,20250831-175310,009-ptm-jitter,NA,NA,NA,iwls-nuts,NA
120658388.69133744,84.99397967179588,432772.58520262653,0.4998813270758741,12218090982264546e65,1,0.9999389205458942,ptm,34,ptm-iwls-nuts,500,5000,500.9676218032837,20250906-074408,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
229393805.58227324,1.4241753372053725,15229.131989418236,0.3641654610622345,18336874321808996e75,0.821,0.5380469436805561,ptm,35,ptm-iwls-nuts,1000,5000,1709.2426707744598,20250906-130758,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
