xnum,bias,var,mse,ci_coverage,ci_width,parameter,data_type,data_seed,model,ntrain,ntest,run,job,mcmc_strategy,apply_jitter
1,-3.6590745782539134e-18,0.00465042495103432,0.00623796813570249,1,0.208278316652168,scale,gaussian,6,ddpstar,500,1000,20250815-080251,001-ddpstar,NA,NA
2,7.811816334137948e-18,0.00838545483471095,0.02860327805346596,0.708,0.2920544826877809,scale,gaussian,6,ddpstar,500,1000,20250815-080251,001-ddpstar,NA,NA
3,-1.1686169429427999e-17,0.00831147948575748,0.02227930233096636,0.618,0.2853577778405115,scale,gaussian,6,ddpstar,500,1000,20250815-080251,001-ddpstar,NA,NA
0,5.955401023763149e-17,0.00605662049169654,0.01031992320362082,1,0.2483904201144305,loc,gaussian,7,ddpstar,1000,1000,20250815-095953,001-ddpstar,NA,NA
1,-5.152229471232171e-17,0.00895826251606991,0.01547981440624612,0.963,0.2975111620178044,loc,gaussian,7,ddpstar,1000,1000,20250815-095953,001-ddpstar,NA,NA
2,-6.998790074685032e-17,0.02544648534547293,0.05836725829079246,0.893,0.5120814752644622,loc,gaussian,7,ddpstar,1000,1000,20250815-095953,001-ddpstar,NA,NA
3,-6.364057413379194e-17,0.01867991046732545,0.04606334485992115,0.889,0.4406344569374824,loc,gaussian,7,ddpstar,1000,1000,20250815-095953,001-ddpstar,NA,NA
0,-1.7760237860453894e-18,0.00160591798087306,0.00727023294114645,0.38,0.12287625714846916,scale,gaussian,7,ddpstar,1000,1000,20250815-095953,001-ddpstar,NA,NA
1,-5.650848170467289e-19,0.00218368138207869,0.00954909188693746,0.537,0.14712658650240984,scale,gaussian,7,ddpstar,1000,1000,20250815-095953,001-ddpstar,NA,NA
2,6.057757648367938e-18,0.00576713665883983,0.02474580121261806,0.469,0.23889746604404336,scale,gaussian,7,ddpstar,1000,1000,20250815-095953,001-ddpstar,NA,NA
