index,variable,kernel,error_code,error_msg,phase,count,relative,run,model
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,posterior,45,0.001125,dummy-07mbaa0r,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,warmup,7,3.5e-4,dummy-07mbaa0r,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,posterior,0,0,dummy-07mbaa0r,ptm
0,scale_intercept,kernel_01,NA,NA,NA,NA,NA,dummy-07mbaa0r,ptm
0,loc_intercept,kernel_02,NA,NA,NA,NA,NA,dummy-07mbaa0r,ptm
0,trafo0_latent,kernel_00,1,divergent transition,warmup,76,0.0038,dummy-08u000x7,ptm
0,trafo0_latent,kernel_00,1,divergent transition,posterior,82,0.00204999999999999,dummy-08u000x7,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,warmup,944,0.0472,dummy-08u000x7,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,posterior,0,0,dummy-08u000x7,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,warmup,76,0.0038,dummy-08u000x7,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,posterior,82,0.00204999999999999,dummy-08u000x7,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,warmup,944,0.0472,dummy-08u000x7,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,posterior,0,0,dummy-08u000x7,ptm
0,scale_intercept,kernel_01,NA,NA,NA,NA,NA,dummy-08u000x7,ptm
0,loc_intercept,kernel_02,NA,NA,NA,NA,NA,dummy-08u000x7,ptm
0,trafo0_latent,kernel_00,1,divergent transition,warmup,60,0.003,dummy-09709t4f,ptm
0,trafo0_latent,kernel_00,1,divergent transition,posterior,37,9.2499999999999e-4,dummy-09709t4f,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,warmup,6,3e-4,dummy-09709t4f,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,posterior,0,0,dummy-09709t4f,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,warmup,60,0.003,dummy-09709t4f,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,posterior,37,9.2499999999999e-4,dummy-09709t4f,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,warmup,6,3e-4,dummy-09709t4f,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,posterior,0,0,dummy-09709t4f,ptm
0,scale_intercept,kernel_01,NA,NA,NA,NA,NA,dummy-09709t4f,ptm
0,loc_intercept,kernel_02,NA,NA,NA,NA,NA,dummy-09709t4f,ptm
0,trafo0_latent,kernel_00,1,divergent transition,warmup,100,0.005,dummy-0ae0hg19,ptm
0,trafo0_latent,kernel_00,1,divergent transition,posterior,61,0.001525,dummy-0ae0hg19,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,warmup,100,0.005,dummy-0ae0hg19,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,posterior,61,0.001525,dummy-0ae0hg19,ptm
0,scale_intercept,kernel_01,NA,NA,NA,NA,NA,dummy-0ae0hg19,ptm
0,loc_intercept,kernel_02,NA,NA,NA,NA,NA,dummy-0ae0hg19,ptm
0,trafo0_latent,kernel_00,1,divergent transition,warmup,91,0.00455,dummy-0aifryp2,ptm
0,trafo0_latent,kernel_00,1,divergent transition,posterior,280,0.007,dummy-0aifryp2,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,warmup,19,9.5e-4,dummy-0aifryp2,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,posterior,0,0,dummy-0aifryp2,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,warmup,91,0.00455,dummy-0aifryp2,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,posterior,280,0.007,dummy-0aifryp2,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,warmup,19,9.5e-4,dummy-0aifryp2,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,posterior,0,0,dummy-0aifryp2,ptm
0,scale_intercept,kernel_01,NA,NA,NA,NA,NA,dummy-0aifryp2,ptm
0,loc_intercept,kernel_02,NA,NA,NA,NA,NA,dummy-0aifryp2,ptm
0,trafo0_latent,kernel_00,1,divergent transition,warmup,68,0.0034,dummy-0aksi9c4,ptm
0,trafo0_latent,kernel_00,1,divergent transition,posterior,58,0.00145,dummy-0aksi9c4,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,warmup,45,0.00225,dummy-0aksi9c4,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,posterior,0,0,dummy-0aksi9c4,ptm
