kld_test,mad_test,run,in_hdi_cdf,in_hdi_prob,in_ci_cdf,in_ci_prob,width_hdi_cdf,width_hdi_prob,width_ci_cdf,width_ci_prob,model
0.02017563272184679,0.01950544474854563,dummy-kwnto78a,0.926,0.998,0.914,1,0.05327120780924348,0.13550621383528932,0.05381227824258579,0.1373995296770968,ptm-J30
0.184843649371533,0.05813039419176007,dummy-ky1x1vid,0.708,0.855,0.782,0.903,0.15361333468647637,0.22963856619812956,0.15696423901285,0.24145523654728324,ptm-J30
0.1569943846977581,0.04020090706242873,dummy-kyrsgurj,0.895,0.703,0.933,0.691,0.1105986916626043,0.18557790308559155,0.11205193831985769,0.19361622115836444,ptm-J30
0.14800974455194063,0.07794800778342004,dummy-kzqcu1fu,0.728,0.71,0.7386666666666667,0.7726666666666666,0.16072644181372747,0.3025828653981312,0.16362781929957187,0.31195465923123056,ptm-J30
0.09909094733277968,0.04003871050437485,dummy-l12tfjae,0.978,0.992,0.955,0.998,0.1255648146063345,0.24160859387753772,0.12727684975551928,0.24887445339155767,ptm-J30
0.07432222231945051,0.03594241046742957,dummy-l159vo51,0.97,0.9206666666666666,0.978,0.9886666666666668,0.10690614363629934,0.1908238833383572,0.10825671547295296,0.1960042651855234,ptm-J30
0.0918864616272579,0.09737984817981594,dummy-l1yyuglp,0.5113333333333333,0.734,0.5713333333333334,0.788,0.1941276236215622,0.1623880107789545,0.19874717401461944,0.1658672137259153,ptm-J30
0.01293858545627003,0.03204000624929173,dummy-l2a6c813,1,1,1,1,0.10326720020752148,0.10377397443056266,0.10459531061956089,0.1051507988571734,ptm-J30
0.05923737050300649,0.04424301810449372,dummy-l3xkmnay,0.978,0.9873333333333332,0.9833333333333332,0.992,0.11432600840641433,0.1861908897969818,0.11579213169267412,0.1913013129021037,ptm-J30
0.20771196872614023,0.06784872193936257,dummy-l4hlsw4o,1,0.566,0.9906666666666668,0.8353333333333334,0.19560968921054636,0.2804302362840818,0.2026912248207698,0.29953564879956174,ptm-J30
0.15375837324720598,0.04622316174998959,dummy-l4op0sch,0.572,0.5293333333333333,0.582,0.55,0.09418136473851196,0.14662919522100493,0.09517744474734165,0.15030425374806994,ptm-J30
0.02150873583393631,0.02480102288973075,dummy-l5187xw8,0.636,0.8366666666666667,0.6413333333333333,0.8506666666666667,0.05258606711967437,0.1308218327198485,0.05315837291722775,0.1324764901238951,ptm-J30
0.17394146015589135,0.07621232753719206,dummy-l5mjr2v4,0.53,0.6026666666666667,0.5686666666666667,0.608,0.16043007961073752,0.238921794359146,0.16482339154777578,0.24708149094619147,ptm-J30
0.12200775494422518,0.06899963923461215,dummy-l69wttgq,0.35,0.858,0.476,0.87,0.1184643283103847,0.21267793966553364,0.11963552785377243,0.2185773160355436,ptm-J30
0.00733213033076369,0.01494970017874361,dummy-l72kqzx0,0.9926666666666668,0.9993333333333332,0.9793333333333332,0.9986666666666668,0.05069105795406815,0.05741789353396351,0.05116913679274084,0.05800295186202934,ptm-J30
0.0202144770541105,0.01455953923475756,dummy-l7t97aoj,0.96,0.988,0.9606666666666668,0.99,0.05223272258624704,0.10106252281584144,0.05278530757828179,0.10217845100197874,ptm-J30
0.03829587912768412,0.01562234111200202,dummy-l7wnnp8o,0.952,0.846,0.962,0.834,0.05497817852950752,0.12985457892506827,0.05553427195992302,0.1316689643139503,ptm-J30
0.1055167866263181,0.03438745368563289,dummy-l96d5cdq,0.998,0.817,0.998,0.839,0.1183222521297362,0.24383339369243792,0.12048341932654852,0.25059316288706357,ptm-J30
0.13200584511156374,0.08119063238594279,dummy-l987b5sq,0.87,0.534,0.9006666666666666,0.5213333333333333,0.2050323166687731,0.2006968521856343,0.21067145298105816,0.205725157549953,ptm-J30
0.3177736462760921,0.0776419359264195,dummy-la38pluy,1,0.7373333333333333,1,0.864,0.23803538222953757,0.45913442287803174,0.24474611612023223,0.4870002483000729,ptm-J30
0.2217145691160643,0.10099647310938406,dummy-laa6xwf8,0.274,0.721,0.254,0.83,0.16615009265115444,0.2917664845427001,0.16929798844167748,0.30474818841058526,ptm-J30
0.01610328547403679,0.01891009080687914,dummy-lb782u73,0.87,0.686,0.9173333333333332,0.7266666666666667,0.05489117787883279,0.1397544652296921,0.05533477353298358,0.14148272945378695,ptm-J30
0.15946206771620572,0.04742344425826333,dummy-lcpbpkj0,0.824,0.635,0.819,0.629,0.12692894990125128,0.2512120789139045,0.12822275633248664,0.25759693024128194,ptm-J30
0.0224600808858617,0.04864690065949351,dummy-ld0w2r4a,0.678,0.896,0.6766666666666666,0.8433333333333334,0.10381224825161392,0.11370877026782908,0.10538033547318013,0.11665582502154674,ptm-J30
0.1323466409530708,0.0661679195090015,dummy-ld3l1hfi,0.914,0.5413333333333333,0.916,0.554,0.17028988234143477,0.1993730372086049,0.1744904042093581,0.20307390893339267,ptm-J30
0.26852515843458263,0.09068679913010196,dummy-ld6ro4fj,0.583,0.718,0.633,0.786,0.1861394992637052,0.21180034326355365,0.19247794504046087,0.2244407838963643,ptm-J30
0.02217024945698654,0.0136820957292229,dummy-ldtkk6w3,0.9813333333333332,0.9893333333333332,0.984,0.9886666666666668,0.05291522472286866,0.1248272708693684,0.05340197783958164,0.12632395439120817,ptm-J30
0.0742277361017712,0.06094561146518872,dummy-ldu56stx,1,1,0.9993333333333332,0.9993333333333332,0.20685388661720183,0.20421294329050163,0.21083603889794145,0.21122251410582735,ptm-J30
0.11662654684001351,0.05300133124233611,dummy-ldw73hcy,0.8833333333333333,0.9606666666666668,0.9,0.9733333333333334,0.1824376820626048,0.2160793634648874,0.18677801470570615,0.22332722446157463,ptm-J30
0.00441979438084616,0.01223059958310025,dummy-le7zsn6r,1,1,1,1,0.04764556679975029,0.05808927692003603,0.04813662998475845,0.05873716409471784,ptm-J30
0.00435322479175358,0.01475722416008371,dummy-le90qfvu,0.9846666666666668,0.9986666666666668,0.9946666666666668,1,0.04733694884210098,0.05948242162177476,0.04780200918798435,0.06014632515864557,ptm-J30
0.13572132051469382,0.09444053771460828,dummy-lg2cjut6,0.292,0.8406666666666667,0.2793333333333333,0.882,0.1636891376037693,0.33611201656433454,0.16624335498550552,0.34597982465263755,ptm-J30
0.05082807695414289,0.0309229130046808,dummy-lib6b48e,0.9366666666666666,0.9893333333333332,0.966,0.992,0.11382014359768272,0.18013285196205683,0.1152553411984786,0.1848454503179336,ptm-J30
0.1613011160955216,0.04299933650812117,dummy-ljfjm7ek,0.8706666666666667,0.9346666666666666,0.9406666666666668,0.968,0.15054688038512878,0.3539990174824975,0.15486327068887426,0.36813396900326273,ptm-J30
0.1763531412598252,0.07324043867009228,dummy-lk36df60,0.9813333333333332,0.9926666666666668,0.9933333333333332,0.9966666666666668,0.2254356934251472,0.3138459071774849,0.2326661417198484,0.33051409399852427,ptm-J30
0.5289929401855443,0.06907921625736924,dummy-lk91ph40,0.9733333333333334,0.728,0.9566666666666668,0.8346666666666667,0.23705256843583705,0.48875692554696926,0.24354460292948268,0.5225197384174828,ptm-J30
0.04580144717929602,0.05182248325669634,dummy-lm4gnkqd,1,1,1,1,0.15433229286802955,0.18100578666853945,0.1575616409526356,0.18582529602449507,ptm-J30
0.02050406291647126,0.03191636822631257,dummy-lmapfski,0.9626666666666668,0.9873333333333332,0.986,0.9953333333333332,0.1003908226317978,0.11677073888117452,0.10200307194867914,0.11867146787752043,ptm-J30
0.25020104010826844,0.0862634860878281,dummy-lmn90kow,0.9426666666666668,0.688,0.876,0.8526666666666667,0.25239573249053476,0.39859948173226434,0.2594043469643058,0.42365926647555185,ptm-J30
0.23635380753116875,0.02857767490407211,dummy-ln4pbez4,0.4713333333333333,0.502,0.4806666666666667,0.504,0.05304775400122465,0.15936182469319043,0.05361536374631642,0.161113321669469,ptm-J30
0.11532310879797644,0.04009644406820259,dummy-lnlsg0h4,0.978,0.913,0.957,0.917,0.11671757262992263,0.2121097127674354,0.1187978315751781,0.21805297661837825,ptm-J30
0.08864191199424921,0.05134389873532012,dummy-lokyowrg,0.9853333333333332,0.984,0.9866666666666668,0.9633333333333334,0.14674055975938316,0.2461491759840924,0.14858011453070724,0.2510413602811249,ptm-J30
0.00375196628186927,0.01246559602013792,dummy-lp4ldbdm,0.9986666666666668,1,0.9986666666666668,1,0.05086742571366121,0.05842169259266677,0.05131685799715804,0.05908785763676344,ptm-J30
0.03547505527873906,0.038824041787058,dummy-lprg1ij5,0.8906666666666667,0.6106666666666667,0.8133333333333334,0.6026666666666667,0.10838454489553456,0.0940538923229672,0.1101041778071718,0.09523584607502944,ptm-J30
0.0961467008758084,0.03092538787115962,dummy-lqmooszm,0.8953333333333333,0.9526666666666668,0.9393333333333334,0.9726666666666668,0.11382336125139268,0.2612721085538116,0.11549643172885178,0.2675708473717935,ptm-J30
0.01991272456102759,0.0397820260489181,dummy-lqynf31e,0.9993333333333332,1,1,1,0.14033991025289771,0.1449923676442866,0.14262622106924577,0.14749704112503023,ptm-J30
0.09411852159690638,0.0595893911164415,dummy-lr1svagk,0.786,0.708,0.8086666666666666,0.7626666666666667,0.1463052605043572,0.19248283687276077,0.14901925679478062,0.19927910606652632,ptm-J30
0.01727380492501688,0.01932490497156613,dummy-lryw71yx,0.9893333333333332,0.996,0.9906666666666668,0.9973333333333332,0.05372172155518484,0.10400481898976303,0.05428605130994601,0.10533736238847038,ptm-J30
0.13297220752438352,0.0557625151098069,dummy-ls9t8fts,0.9993333333333332,0.8926666666666667,0.9993333333333332,1,0.17376852766154505,0.2663963441987578,0.1768730169659634,0.27523458783773497,ptm-J30
0.5749402046536405,0.07536502475402541,dummy-lskfa59p,0.7173333333333334,0.3486666666666667,0.7653333333333333,0.3933333333333333,0.1800532692391173,0.22531177854545983,0.18768839557971895,0.23886937860612295,ptm-J30
0.12394312957618764,0.04629919775733733,dummy-lwaud1gh,0.8673333333333333,0.934,0.9006666666666666,0.978,0.13724593432079635,0.22304730188271168,0.13989156615132742,0.23118208625526476,ptm-J30
0.02054153237317913,0.03156443859932836,dummy-lws8bypf,0.9993333333333332,1,0.9993333333333332,1,0.10396999731225486,0.11741616366272072,0.1051707607747822,0.11977472408024809,ptm-J30
0.14645695050899774,0.05313427583256002,dummy-m03jyyva,1,0.8806666666666667,1,0.8993333333333333,0.1579017820748337,0.33568850611808715,0.1614403551097859,0.35195560535888787,ptm-J30
0.04532114754428241,0.02337901148778279,dummy-m07r22x0,0.689,0.844,0.71,0.838,0.05298769617077058,0.12776405379935385,0.05355201494191487,0.12924057885534754,ptm-J30
0.03492187017782955,0.03872640010860405,dummy-m22jw0in,0.9973333333333332,0.836,0.998,0.856,0.1434586628355924,0.16101558443690905,0.1458094932992289,0.16429964805454095,ptm-J30
0.07127462332973934,0.0576528773012314,dummy-m28ule73,1,1,1,1,0.20381913877752775,0.21804582167672948,0.20764851538861817,0.22722861046729928,ptm-J30
0.23260728125791877,0.02275138543903683,dummy-m2ok5y17,0.8013333333333333,0.6873333333333334,0.806,0.716,0.0547030895440215,0.1647459319762698,0.05530857954544402,0.1669627918248857,ptm-J30
0.4901140698407989,0.08452012165767776,dummy-m2tx22nn,0.9633333333333334,0.82,0.944,0.834,0.2323210082404606,0.48584575462841334,0.23937029237828963,0.5186661788768602,ptm-J30
0.2591535819695503,0.07620290686562536,dummy-m2vxr65x,0.606,0.864,0.6553333333333333,0.8826666666666667,0.17782206323543456,0.23334004077388068,0.1832020094437065,0.2398351741834948,ptm-J30
0.0223423422241014,0.01805209106995916,dummy-m3amttnm,0.9133333333333332,0.94,0.916,0.9726666666666668,0.05621864490400149,0.13330052153538485,0.05675470661103688,0.135416799094963,ptm-J30
0.00603825931712231,0.02096007660326601,dummy-m4id8gje,0.7186666666666667,0.9366666666666666,0.6586666666666666,0.902,0.04964460530659006,0.05884094081251093,0.05006727108073309,0.05963141251400615,ptm-J30
0.13139354662847483,0.07251905701906117,dummy-m59me699,0.814,0.9626666666666668,0.8306666666666667,0.9693333333333334,0.19453950319621588,0.19168663214539391,0.1982280718465748,0.1961067332227372,ptm-J30
0.16178554405791612,0.07031149657848906,dummy-m5jdsemr,1,0.8693333333333333,1,0.9086666666666666,0.20747673573792652,0.2862105789233334,0.2146259441926043,0.30036787062321835,ptm-J30
0.19843214328143233,0.07006110581449347,dummy-m60wo0kq,1,1,1,1,0.22991856165351604,0.3671172432366181,0.2363522928630382,0.39461442280228715,ptm-J30
0.07725196942243381,0.06238055025015624,dummy-m7efigqj,0.9993333333333332,0.752,0.9993333333333332,0.7826666666666666,0.20363708383193177,0.18890548465281945,0.2076326141732292,0.19240062076507247,ptm-J30
0.23080811856453237,0.01917876143180644,dummy-m7xsj2kc,0.8013333333333333,0.728,0.8073333333333333,0.734,0.05362478480874431,0.16461505496058376,0.05415806757107289,0.1670458182841785,ptm-J30
0.01543150500085094,0.03078188050792654,dummy-m8bnkh06,1,1,0.9946666666666668,1,0.1021583517712464,0.10262612845988556,0.10360715091855063,0.10461079146907734,ptm-J30
