variable,ess_bulk_min,ess_bulk_median,ess_tail_min,ess_tail_median,rhat_max,rhat_median,ess_bulk_min_per_minute,ess_tail_min_per_minute,ess_bulk_median_per_minute,ess_tail_median_per_minute,model,job,run,fold,a,b,nparam,trafo_target_slope
loc_intercept,13895.723086876016,13895.723086876016,16748.43898558687,16748.43898558687,1.0002634133578514,1.0002634133578514,5060.648019380166,6099.571360929783,5060.648019380166,6099.571360929783,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-150526,6,NA,NA,NA,NA
s(age)_coef,12030.173171698065,15317.33862912392,12759.059664794106,14815.07222774204,1.0009899872956016,1.0002061912060187,4381.23814453769,4646.689461074303,5578.382564982306,5395.463442784552,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-150526,6,NA,NA,NA,NA
s(age)_variance,5194.779432743848,5194.779432743848,8750.023825760049,8750.023825760049,1.0006245781080043,1.0006245781080043,1891.873498275228,3186.6489038762857,1891.873498275228,3186.6489038762857,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-150526,6,NA,NA,NA,NA
s(sex)_coef,13294.420308694323,13294.420308694323,16098.635166380998,16098.635166380998,1.0003933165751333,1.0003933165751333,4841.661091213257,5862.92096209191,4841.661091213257,5862.92096209191,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-150526,6,NA,NA,NA,NA
scale_intercept,13806.861275807772,13806.861275807772,17636.901952025666,17636.901952025666,1.0000933594577996,1.0000933594577996,5028.285662605385,6423.138427090422,5028.285662605385,6423.138427090422,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-150526,6,NA,NA,NA,NA
g(age)_coef,14116.79849973728,15388.815307448687,14548.540890684984,15877.323536127196,1.000339563780019,1.0001874156273618,5219.4799173074025,5379.1103561100645,5689.789540445448,5870.408318072283,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-151131,7,NA,NA,NA,NA
g(age)_variance,7058.350589243034,7058.350589243034,11251.13278835057,11251.13278835057,1.00035650102254,1.00035650102254,2609.7219670985965,4159.941904451462,2609.7219670985965,4159.941904451462,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-151131,7,NA,NA,NA,NA
g(sex)_coef,12677.195074996289,12677.195074996289,15337.268374391302,15337.268374391302,1.0000756101924568,1.0000756101924568,4687.207591931192,5670.730815345928,4687.207591931192,5670.730815345928,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-151131,7,NA,NA,NA,NA
loc_intercept,14527.169705387929,14527.169705387929,17251.4808802064,17251.4808802064,1.000136770654781,1.000136770654781,5371.208672702945,6378.48291166908,5371.208672702945,6378.48291166908,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-151131,7,NA,NA,NA,NA
s(age)_coef,12348.965081531873,15163.116181991132,13987.042238709108,14700.64569341524,1.0003350523407388,1.0001204779393678,4565.849349183918,5171.504436280735,5606.34058757547,5435.348883789789,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-151131,7,NA,NA,NA,NA
