kernel,error_code,error_msg,phase,count,relative,model,job,run,fold,a,b,nparam,trafo_target_slope,index
kernel_00,1,divergent transition,posterior,1,5e-5,ptm-linear-77-id,002c-ptm-linear,20250909-210222,10,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,warmup,89,0.00445,ptm-linear-77-id,002c-ptm-linear,20250909-210222,10,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm-linear-77-id,002c-ptm-linear,20250909-210222,10,-7,7,40,identity,NA
kernel_05,1,divergent transition,warmup,40,0.002,ptm-linear-77-id,002c-ptm-linear,20250909-210222,10,-7,7,40,identity,NA
kernel_05,1,divergent transition,posterior,0,0,ptm-linear-77-id,002c-ptm-linear,20250909-210222,10,-7,7,40,identity,NA
kernel_00,1,divergent transition,warmup,85,0.00425,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250906-002813,-1,-7,7,40,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250906-002813,-1,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,warmup,180,0.009,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250906-002813,-1,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250906-002813,-1,-7,7,40,identity,NA
kernel_00,1,divergent transition,warmup,90,0.0045,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-144923,1,-7,7,40,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-144923,1,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,warmup,127,0.00635,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-144923,1,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-144923,1,-7,7,40,identity,NA
kernel_00,1,divergent transition,warmup,92,0.0046,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-145234,2,-7,7,40,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-145234,2,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,warmup,123,0.00615,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-145234,2,-7,7,40,identity,NA
