waic,log_score,crps,fit_seconds,model,job,run,fold,a,b,nparam,trafo_target_slope
12390.438455561502,664.6188422810428,0.34627132496917107,789.2479999999999,ddpstar,005-ddpstar,20250817-160503,3,NA,NA,NA,NA
12328.25921095408,693.7403004310266,0.3661302637978235,789.081,ddpstar,005-ddpstar,20250817-160511,4,NA,NA,NA,NA
12356.424913360106,679.1694437897386,0.3512363364792681,802.336,ddpstar,005-ddpstar,20250817-162744,5,NA,NA,NA,NA
12353.15798002521,682.9907573925065,0.36129652400364615,780.643,ddpstar,005-ddpstar,20250817-164214,6,NA,NA,NA,NA
12289.60720538323,718.4925129551045,0.38153911500894105,782.525,ddpstar,005-ddpstar,20250817-164939,7,NA,NA,NA,NA
12326.965699633083,692.1030935234248,0.3648630102375783,790.785,ddpstar,005-ddpstar,20250817-162722,8,NA,NA,NA,NA
12320.592338522703,696.183065244719,0.3661781036949674,797.5799999999999,ddpstar,005-ddpstar,20250817-162726,9,NA,NA,NA,NA
NA,1.611652321538382,0.3034626315008406,295.802,tamls,006-tamls,20250817-155219,-1,NA,NA,NA,NA
NA,670.4757638118132,0.34927527351973264,262.477,tamls,006-tamls,20250817-154753,1,NA,NA,NA,NA
NA,702.4246728131494,0.3646918289670395,244.82,tamls,006-tamls,20250817-155223,10,NA,NA,NA,NA
NA,703.4241181324595,0.3607867230399038,253.41000000000005,tamls,006-tamls,20250817-154744,2,NA,NA,NA,NA
NA,685.0570414637077,0.3495800609114696,266.67400000000004,tamls,006-tamls,20250817-154757,3,NA,NA,NA,NA
NA,721.3163459712875,0.3676712425116566,249.188,tamls,006-tamls,20250817-154740,4,NA,NA,NA,NA
NA,683.5247878487199,0.3514276593933915,243.396,tamls,006-tamls,20250817-154733,5,NA,NA,NA,NA
NA,700.1646593414088,0.3610376729719717,220.542,tamls,006-tamls,20250817-154712,6,NA,NA,NA,NA
NA,743.586107026069,0.3844425601685092,273.41100000000006,tamls,006-tamls,20250817-155247,7,NA,NA,NA,NA
NA,702.4950257285828,0.3644132863018707,246.95300000000003,tamls,006-tamls,20250817-155234,8,NA,NA,NA,NA
NA,709.1992210454463,0.36857260836070577,274.44599999999997,tamls,006-tamls,20250817-155241,9,NA,NA,NA,NA
NA,1.28793220644274,0.2366067874803729,8222.658,kowal,007-kowal,20250824-180111,-1,NA,NA,NA,NA
NA,685.0105843053665,0.3653508715120284,2597.551,kowal,007-kowal,20250824-144241,1,NA,NA,NA,NA
NA,711.5688753150351,0.3818939662669308,2505.231,kowal,007-kowal,20250824-143735,10,NA,NA,NA,NA
NA,730.6588799438709,0.3809560899579385,2470.6600000000003,kowal,007-kowal,20250824-143735,2,NA,NA,NA,NA
NA,703.9784745310586,0.3681327962380702,2599.414,kowal,007-kowal,20250824-143911,3,NA,NA,NA,NA
NA,783.0655031043619,0.3801948117456296,2458.9190000000003,kowal,007-kowal,20250824-143736,4,NA,NA,NA,NA
NA,692.6568556048966,0.3671650505642215,2479.78,kowal,007-kowal,20250824-143746,5,NA,NA,NA,NA
NA,707.678594967156,0.37524195210449274,2551.05,kowal,007-kowal,20250824-143956,6,NA,NA,NA,NA
NA,780.234149240501,0.39724835702506806,2620.4640000000004,kowal,007-kowal,20250824-143953,7,NA,NA,NA,NA
NA,713.5912497095331,0.3819045209120109,2489.3129999999996,kowal,007-kowal,20250824-143828,8,NA,NA,NA,NA
NA,728.2384333617647,0.3860471849964211,2505.76,kowal,007-kowal,20250824-143818,9,NA,NA,NA,NA
NA,1.4491420130997152,0.25052239848409474,2962.2439999999997,kowal,007b-kowal,20250829-000415,-1,NA,NA,NA,NA
NA,692.0110061239706,0.3676592774017759,2497.511,kowal,007b-kowal,20250828-222904,1,NA,NA,NA,NA
NA,712.7584639163919,0.3831373833027618,2482.2729999999997,kowal,007b-kowal,20250828-222704,10,NA,NA,NA,NA
NA,763.0025332519509,0.37981846173561346,2497.856,kowal,007b-kowal,20250828-222820,2,NA,NA,NA,NA
NA,695.7792813077555,0.3658319927134058,2466.03,kowal,007b-kowal,20250828-222617,3,NA,NA,NA,NA
NA,738.6681950056465,0.38058297538123065,2500.881,kowal,007b-kowal,20250828-222722,4,NA,NA,NA,NA
NA,690.750328915047,0.3651456373393087,2542.199,kowal,007b-kowal,20250828-222825,5,NA,NA,NA,NA
NA,713.0771083019204,0.3751035268668456,2483.333,kowal,007b-kowal,20250828-222628,6,NA,NA,NA,NA
NA,819.9745071003143,0.3979199024779389,2462.6790000000005,kowal,007b-kowal,20250828-222721,7,NA,NA,NA,NA
NA,725.5434973453343,0.3848448262694275,2497.4300000000003,kowal,007b-kowal,20250828-222902,8,NA,NA,NA,NA
NA,725.4363076049224,0.3876547277161564,2495.447,kowal,007b-kowal,20250828-222814,9,NA,NA,NA,NA
