kernel,error_code,error_msg,phase,count,relative,model,job,run,fold,a,b,nparam,trafo_target_slope,index
kernel_00,1,divergent transition,posterior,0,0,ptm,001g-ptm,20250906-072514,10,-4,7,30,continue_linearly,NA
kernel_00,2,maximum tree depth,warmup,2911,0.14554999999999998,ptm,001g-ptm,20250906-072514,10,-4,7,30,continue_linearly,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm,001g-ptm,20250906-072514,10,-4,7,30,continue_linearly,NA
kernel_00,1,divergent transition,warmup,79,0.00394999999999999,ptm,001h-ptm,20250905-174943,-1,-4,4,20,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm,001h-ptm,20250905-174943,-1,-4,4,20,identity,NA
kernel_00,2,maximum tree depth,warmup,1583,0.07915,ptm,001h-ptm,20250905-174943,-1,-4,4,20,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm,001h-ptm,20250905-174943,-1,-4,4,20,identity,NA
kernel_00,1,divergent transition,warmup,85,0.00424999999999999,ptm,001h-ptm,20250905-180527,-1,-4,4,20,continue_linearly,NA
kernel_00,1,divergent transition,posterior,0,0,ptm,001h-ptm,20250905-180527,-1,-4,4,20,continue_linearly,NA
kernel_00,2,maximum tree depth,warmup,2702,0.1351,ptm,001h-ptm,20250905-180527,-1,-4,4,20,continue_linearly,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm,001h-ptm,20250905-180527,-1,-4,4,20,continue_linearly,NA
kernel_00,1,divergent transition,warmup,95,0.00474999999999999,ptm,001h-ptm,20250906-020617,-1,-4,7,30,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm,001h-ptm,20250906-020617,-1,-4,7,30,identity,NA
kernel_00,2,maximum tree depth,warmup,3950,0.1975,ptm,001h-ptm,20250906-020617,-1,-4,7,30,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm,001h-ptm,20250906-020617,-1,-4,7,30,identity,NA
kernel_00,1,divergent transition,warmup,95,0.00474999999999999,ptm,001h-ptm,20250906-033954,-1,-4,7,30,continue_linearly,NA
kernel_00,1,divergent transition,posterior,0,0,ptm,001h-ptm,20250906-033954,-1,-4,7,30,continue_linearly,NA
kernel_00,2,maximum tree depth,warmup,3950,0.1975,ptm,001h-ptm,20250906-033954,-1,-4,7,30,continue_linearly,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm,001h-ptm,20250906-033954,-1,-4,7,30,continue_linearly,NA
kernel_00,90,nan acceptance prob,warmup,3,1.499999925727e-4,gaussian,002-gaussian,20250826-163641,1,NA,NA,NA,NA,NA
kernel_00,90,nan acceptance prob,posterior,0,0,gaussian,002-gaussian,20250826-163641,1,NA,NA,NA,NA,NA
