variable,ess_bulk_min,ess_bulk_median,ess_tail_min,ess_tail_median,rhat_max,rhat_median,ess_bulk_min_per_minute,ess_tail_min_per_minute,ess_bulk_median_per_minute,ess_tail_median_per_minute,model,job,run,fold,a,b,nparam,trafo_target_slope
trafo0_latent,17282.280309928316,28150.77054141699,20730.573066948535,24168.619399726787,1.0002823416574715,1.0000935877207937,37.47400006746872,44.95109919396493,61.04067045841895,52.40598050569081,ptm-47-co,001g-ptm,20250906-042400,5,-4,7,30,continue_linearly
trafo0_scale_square_transformed,11712.757661414196,11712.757661414196,18402.69943436893,18402.69943436893,1.000261561118874,1.000261561118874,25.397336087757335,39.90345877268138,25.397336087757335,39.90345877268138,ptm-47-co,001g-ptm,20250906-042400,5,-4,7,30,continue_linearly
g(age)_coef,3909.860478621201,5775.006661459251,4965.1836694040985,7793.059725086569,1.0011614218343268,1.0006359077598528,15.70096482764424,19.93886344087629,23.190898234547355,31.294865203595307,ptm-44-id,001g-ptm,20250905-164406,5,-4,4,20,identity
g(age)_variance,2070.1030167087106,2070.1030167087106,4438.138634603787,4438.138634603787,1.0013489687744093,1.0013489687744093,8.312985804139394,17.822390078404176,8.312985804139394,17.822390078404176,ptm-44-id,001g-ptm,20250905-164406,5,-4,4,20,identity
loc_intercept,5247.119665593993,5247.119665593993,9162.092702942216,9162.092702942216,1.0005765544893477,1.0005765544893477,21.071043779287088,36.79253928959665,21.071043779287088,36.79253928959665,ptm-44-id,001g-ptm,20250905-164406,5,-4,4,20,identity
s(age)_coef,4926.357268111178,5342.2329622096595,7516.119775168297,8388.410640782507,1.000898678171175,1.0005642597064015,19.782946889782593,30.182747664667232,21.452993604087613,33.685636904672506,ptm-44-id,001g-ptm,20250905-164406,5,-4,4,20,identity
s(age)_variance,17037.674106800612,17037.674106800612,29905.15737146592,29905.15737146592,1.000135219236033,1.000135219236033,68.41878971345729,120.0911967631474,68.41878971345729,120.0911967631474,ptm-44-id,001g-ptm,20250905-164406,5,-4,4,20,identity
scale_intercept,6572.273963113743,6572.273963113743,9490.275335454104,9490.275335454104,1.0010660733874204,1.0010660733874204,26.392512698785833,38.11043387900408,26.392512698785833,38.11043387900408,ptm-44-id,001g-ptm,20250905-164406,5,-4,4,20,identity
trafo0_latent,16275.07921159575,25410.826691864077,15402.004242432748,21813.213804863342,1.0004217522127952,1.0002126716337278,65.35641045649336,61.850372464171194,102.04315430483553,87.59609316003535,ptm-44-id,001g-ptm,20250905-164406,5,-4,4,20,identity
trafo0_scale_square_transformed,15598.79350922275,15598.79350922275,21324.168409514423,21324.168409514423,1.0002800857920648,1.0002800857920648,62.64062607378781,85.63221629192712,62.64062607378781,85.63221629192712,ptm-44-id,001g-ptm,20250905-164406,5,-4,4,20,identity
g(age)_coef,2448.884838833943,4561.481348074212,4526.411358740715,6276.9990847859435,1.0019194974585377,1.0008234083969034,8.336112498469403,15.40810482487983,15.527484622479198,21.367183010729267,ptm-44-co,001g-ptm,20250905-172929,5,-4,4,20,continue_linearly
g(age)_variance,1524.6213372359534,1524.6213372359534,3320.4928952661357,3320.4928952661357,1.0029871472353469,1.0029871472353469,5.189878586049583,11.303104942446764,5.189878586049583,11.303104942446764,ptm-44-co,001g-ptm,20250905-172929,5,-4,4,20,continue_linearly
loc_intercept,4033.812943858157,4033.812943858157,7978.157290607036,7978.157290607036,1.001152100118828,1.001152100118828,13.731277994189014,27.158000919574427,13.731277994189014,27.158000919574427,ptm-44-co,001g-ptm,20250905-172929,5,-4,4,20,continue_linearly
s(age)_coef,4558.560504452937,4784.060440076769,7010.317725644042,8100.158227006423,1.0008156143710536,1.0004402384463909,15.517541941373384,23.863432156658305,16.28515371386202,27.57329751278955,ptm-44-co,001g-ptm,20250905-172929,5,-4,4,20,continue_linearly
s(age)_variance,16708.33277517556,16708.33277517556,28739.970629839452,28739.970629839452,1.0000826380053904,1.0000826380053904,56.87590509239605,97.83213345676396,56.87590509239605,97.83213345676396,ptm-44-co,001g-ptm,20250905-172929,5,-4,4,20,continue_linearly
scale_intercept,4202.091144626276,4202.091144626276,9852.312133884694,9852.312133884694,1.000643001518673,1.000643001518673,14.304104445804034,33.53770704759021,14.304104445804034,33.53770704759021,ptm-44-co,001g-ptm,20250905-172929,5,-4,4,20,continue_linearly
trafo0_latent,11649.396497737143,20659.74232120297,15699.414221280069,19509.601003922737,1.000491857124516,1.0001912390660816,39.65506184874433,53.441501630994175,70.32667826917589,66.41154626380519,ptm-44-co,001g-ptm,20250905-172929,5,-4,4,20,continue_linearly
trafo0_scale_square_transformed,15896.960112090115,15896.960112090115,20102.826897410763,20102.826897410763,1.0001064817575256,1.0001064817575256,54.1139565963273,68.43091349034897,54.1139565963273,68.43091349034897,ptm-44-co,001g-ptm,20250905-172929,5,-4,4,20,continue_linearly
