data_seed,data_type,ntrain,mcmc_strategy,apply_jitter
38,mixture,1000,iwls-nuts,FALSE
38,skewnorm,250,iwls-nuts,FALSE
38,skewnorm,500,iwls-nuts,FALSE
38,skewnorm,1000,iwls-nuts,FALSE
38,ptm,250,iwls-nuts,FALSE
38,ptm,500,iwls-nuts,FALSE
38,ptm,1000,iwls-nuts,FALSE
39,gaussian,250,iwls-nuts,FALSE
39,gaussian,500,iwls-nuts,FALSE
39,gaussian,1000,iwls-nuts,FALSE
39,mixture,250,iwls-nuts,FALSE
39,mixture,500,iwls-nuts,FALSE
39,mixture,1000,iwls-nuts,FALSE
39,skewnorm,250,iwls-nuts,FALSE
39,skewnorm,500,iwls-nuts,FALSE
39,skewnorm,1000,iwls-nuts,FALSE
39,ptm,250,iwls-nuts,FALSE
39,ptm,500,iwls-nuts,FALSE
39,ptm,1000,iwls-nuts,FALSE
40,gaussian,250,iwls-nuts,FALSE
40,gaussian,500,iwls-nuts,FALSE
40,gaussian,1000,iwls-nuts,FALSE
40,mixture,250,iwls-nuts,FALSE
40,mixture,500,iwls-nuts,FALSE
40,mixture,1000,iwls-nuts,FALSE
40,skewnorm,250,iwls-nuts,FALSE
40,skewnorm,500,iwls-nuts,FALSE
40,skewnorm,1000,iwls-nuts,FALSE
40,ptm,250,iwls-nuts,FALSE
40,ptm,500,iwls-nuts,FALSE
40,ptm,1000,iwls-nuts,FALSE
41,gaussian,250,iwls-nuts,FALSE
41,gaussian,500,iwls-nuts,FALSE
41,gaussian,1000,iwls-nuts,FALSE
41,mixture,250,iwls-nuts,FALSE
41,mixture,500,iwls-nuts,FALSE
41,mixture,1000,iwls-nuts,FALSE
41,skewnorm,250,iwls-nuts,FALSE
41,skewnorm,500,iwls-nuts,FALSE
41,skewnorm,1000,iwls-nuts,FALSE
41,ptm,250,iwls-nuts,FALSE
41,ptm,500,iwls-nuts,FALSE
41,ptm,1000,iwls-nuts,FALSE
42,gaussian,250,iwls-nuts,FALSE
42,gaussian,500,iwls-nuts,FALSE
42,gaussian,1000,iwls-nuts,FALSE
42,mixture,250,iwls-nuts,FALSE
42,mixture,500,iwls-nuts,FALSE
42,mixture,1000,iwls-nuts,FALSE
42,skewnorm,250,iwls-nuts,FALSE
42,skewnorm,500,iwls-nuts,FALSE
42,skewnorm,1000,iwls-nuts,FALSE
42,ptm,250,iwls-nuts,FALSE
42,ptm,500,iwls-nuts,FALSE
42,ptm,1000,iwls-nuts,FALSE
43,gaussian,250,iwls-nuts,FALSE
43,gaussian,500,iwls-nuts,FALSE
43,gaussian,1000,iwls-nuts,FALSE
43,mixture,250,iwls-nuts,FALSE
43,mixture,500,iwls-nuts,FALSE
43,mixture,1000,iwls-nuts,FALSE
43,skewnorm,250,iwls-nuts,FALSE
43,skewnorm,500,iwls-nuts,FALSE
43,skewnorm,1000,iwls-nuts,FALSE
43,ptm,250,iwls-nuts,FALSE
43,ptm,500,iwls-nuts,FALSE
43,ptm,1000,iwls-nuts,FALSE
44,gaussian,250,iwls-nuts,FALSE
44,gaussian,500,iwls-nuts,FALSE
44,gaussian,1000,iwls-nuts,FALSE
44,mixture,250,iwls-nuts,FALSE
44,mixture,500,iwls-nuts,FALSE
44,mixture,1000,iwls-nuts,FALSE
44,skewnorm,250,iwls-nuts,FALSE
44,skewnorm,500,iwls-nuts,FALSE
44,skewnorm,1000,iwls-nuts,FALSE
44,ptm,250,iwls-nuts,FALSE
44,ptm,500,iwls-nuts,FALSE
44,ptm,1000,iwls-nuts,FALSE
45,gaussian,250,iwls-nuts,FALSE
45,gaussian,500,iwls-nuts,FALSE
45,gaussian,1000,iwls-nuts,FALSE
45,mixture,250,iwls-nuts,FALSE
45,mixture,500,iwls-nuts,FALSE
45,mixture,1000,iwls-nuts,FALSE
45,skewnorm,250,iwls-nuts,FALSE
45,skewnorm,500,iwls-nuts,FALSE
45,skewnorm,1000,iwls-nuts,FALSE
45,ptm,250,iwls-nuts,FALSE
45,ptm,500,iwls-nuts,FALSE
45,ptm,1000,iwls-nuts,FALSE
46,gaussian,250,iwls-nuts,FALSE
46,gaussian,500,iwls-nuts,FALSE
46,gaussian,1000,iwls-nuts,FALSE
46,mixture,250,iwls-nuts,FALSE
46,mixture,500,iwls-nuts,FALSE
46,mixture,1000,iwls-nuts,FALSE
46,skewnorm,250,iwls-nuts,FALSE
46,skewnorm,500,iwls-nuts,FALSE
46,skewnorm,1000,iwls-nuts,FALSE
46,ptm,250,iwls-nuts,FALSE
46,ptm,500,iwls-nuts,FALSE
46,ptm,1000,iwls-nuts,FALSE
47,gaussian,250,iwls-nuts,FALSE
47,gaussian,500,iwls-nuts,FALSE
47,gaussian,1000,iwls-nuts,FALSE
47,mixture,250,iwls-nuts,FALSE
47,mixture,500,iwls-nuts,FALSE
47,mixture,1000,iwls-nuts,FALSE
47,skewnorm,250,iwls-nuts,FALSE
47,skewnorm,500,iwls-nuts,FALSE
47,skewnorm,1000,iwls-nuts,FALSE
47,ptm,250,iwls-nuts,FALSE
47,ptm,500,iwls-nuts,FALSE
47,ptm,1000,iwls-nuts,FALSE
48,gaussian,250,iwls-nuts,FALSE
48,gaussian,500,iwls-nuts,FALSE
48,gaussian,1000,iwls-nuts,FALSE
48,mixture,250,iwls-nuts,FALSE
48,mixture,500,iwls-nuts,FALSE
48,mixture,1000,iwls-nuts,FALSE
48,skewnorm,250,iwls-nuts,FALSE
48,skewnorm,500,iwls-nuts,FALSE
48,skewnorm,1000,iwls-nuts,FALSE
48,ptm,250,iwls-nuts,FALSE
48,ptm,500,iwls-nuts,FALSE
48,ptm,1000,iwls-nuts,FALSE
49,gaussian,250,iwls-nuts,FALSE
49,gaussian,500,iwls-nuts,FALSE
49,gaussian,1000,iwls-nuts,FALSE
49,mixture,250,iwls-nuts,FALSE
49,mixture,500,iwls-nuts,FALSE
49,mixture,1000,iwls-nuts,FALSE
49,skewnorm,250,iwls-nuts,FALSE
49,skewnorm,500,iwls-nuts,FALSE
